popularity,followers,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
100,78485332,0.626,0.79,-4.302,1,0.0311,0.135,3.97E-06,0.0989,0.416,119.082
100,78485332,0.529,0.67,-4.663,1,0.0303,0.117,0,0.334,0.286,141.893
100,78485332,0.499,0.815,-4.063,1,0.0341,0.000191,0,0.181,0.344,95.999
100,78485332,0.532,0.623,-9.208,1,0.0331,0.538,7.28E-05,0.0925,0.403,89.937
100,78485332,0.39,0.27,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177
100,78485332,0.292,0.574,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344
100,78485332,0.677,0.722,-7.088,1,0.0522,0.0213,0,0.207,0.0483,125.091
100,78485332,0.546,0.613,-7.589,0,0.0264,0.418,0,0.103,0.535,79.015
100,78485332,0.777,0.658,-5.191,1,0.054,0.0767,0,0.0901,0.633,110.048
100,78485332,0.543,0.818,-3.611,1,0.0398,0.00478,0.000368,0.0357,0.683,139.898
100,78485332,0.642,0.695,-5.62,1,0.0281,0.000443,1.02E-05,0.0753,0.642,103.984
100,78485332,0.664,0.316,-10.345,1,0.519,0.298,2.03E-06,0.0812,0.541,92.875
100,78485332,0.474,0.48,-8.894,1,0.0622,0.707,0.000108,0.0903,0.319,170.109
100,78485332,0.433,0.182,-12.566,1,0.0641,0.907,0,0.123,0.421,207.476
100,78485332,0.599,0.494,-7.61,1,0.0372,0.816,0,0.101,0.44,142.893
100,78485332,0.371,0.341,-9.475,1,0.0319,0.57,3.09E-05,0.101,0.196,89.038
100,78485332,0.598,0.786,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019
100,78485332,0.516,0.777,-4.908,0,0.0375,0.00108,1.62E-06,0.0761,0.408,125.047
100,78485332,0.298,0.38,-8.426,1,0.0287,0.778,5.62E-05,0.11,0.152,75.602
100,78485332,0.613,0.581,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033
100,78485332,0.556,0.651,-4.396,1,0.0266,0.067,0,0.145,0.203,95.485
100,78485332,0.47,0.79,-5.352,1,0.039,0.0216,0,0.0863,0.495,158.061
100,78485332,0.811,0.719,-6.553,1,0.0497,0.0129,1.36E-05,0.0742,0.865,103.979
100,78485332,0.454,0.555,-6.69,1,0.0283,0.157,0,0.343,0.171,171.862
100,78485332,0.788,0.571,-6.135,1,0.0296,0.106,0,0.0934,0.797,115.99
100,78485332,0.731,0.445,-8.418,1,0.0533,0.0586,1.96E-05,0.14,0.106,117.97
100,78485332,0.554,0.666,-7.414,1,0.0747,0.0702,0.00593,0.106,0.472,140.056
100,78485332,0.512,0.462,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05
100,78485332,0.631,0.518,-8.771,1,0.0303,0.274,0,0.088,0.205,93.023
100,78485332,0.552,0.608,-5.29,0,0.0259,0.186,0,0.125,0.17,134.05
100,78485332,0.739,0.32,-10.862,0,0.239,0.736,0.000147,0.111,0.351,79.97
100,78485332,0.593,0.377,-8.761,1,0.0253,0.6,0,0.0976,0.502,95.939
100,78485332,0.552,0.842,-6.938,1,0.0373,0.00103,1.17E-05,0.337,0.343,91.991
100,78485332,0.452,0.544,-5.423,1,0.0277,0.0631,5.33E-06,0.104,0.158,133.042
100,78485332,0.647,0.785,-5.414,1,0.165,0.0561,0,0.148,0.943,160.015
100,78485332,0.568,0.761,-3.987,1,0.0459,0.452,0,0.217,0.789,163.974
100,78485332,0.423,0.517,-7.377,1,0.0486,0.369,0,0.177,0.366,185.262
100,78485332,0.567,0.686,-6.139,1,0.175,0.0317,1.86E-06,0.0732,0.716,172.014
100,78485332,0.605,0.488,-8.322,1,0.0264,0.696,0,0.129,0.354,119.966
100,78485332,0.689,0.704,-10.813,1,0.245,0.835,4.83E-06,0.134,0.92,151.884
100,78485332,0.584,0.557,-6.371,1,0.0342,0.0129,0,0.0576,0.767,154.008
100,78485332,0.605,0.787,-3.002,1,0.0308,0.0396,1.42E-06,0.163,0.374,114.987
100,78485332,0.594,0.712,-4.418,1,0.0273,0.04,0,0.309,0.476,99.972
100,78485332,0.506,0.444,-4.99,1,0.0285,0.0538,0,0.123,0.241,133.873
100,78485332,0.422,0.692,-5.447,1,0.0549,0.0493,2.57E-05,0.177,0.197,184.014
