,Album_Id,Album_Type,Href,Album_Name,Label,Release_date,Release_date_precision,Total_tracks,Uri
1929,7GX9qCMyqCE2surVUDJJgp,album,https://api.spotify.com/v1/albums/7GX9qCMyqCE2surVUDJJgp,The Complete Season 5 Collection (The Voice Performance),Universal Motown Records Group,2014-01-01,day,12,spotify:album:7GX9qCMyqCE2surVUDJJgp
1930,5ZwH7KH8Zw0m76hYwANMos,album,https://api.spotify.com/v1/albums/5ZwH7KH8Zw0m76hYwANMos,PTXmas (Deluxe Edition),RCA Records Label,2012-11-12,day,8,spotify:album:5ZwH7KH8Zw0m76hYwANMos
1931,3cGKAHAUhAaTTezK4GbBhQ,album,https://api.spotify.com/v1/albums/3cGKAHAUhAaTTezK4GbBhQ,Stars Dance (Bonus Track Version),Hollywood Records,2013-01-01,day,13,spotify:album:3cGKAHAUhAaTTezK4GbBhQ
1932,1BbH68c90tSw3WWI7n2KeS,single,https://api.spotify.com/v1/albums/1BbH68c90tSw3WWI7n2KeS,Saturday,Relica Music Group,2013-12-03,day,1,spotify:album:1BbH68c90tSw3WWI7n2KeS
1933,109n8Ov5R95rQx38SraTRE,album,https://api.spotify.com/v1/albums/109n8Ov5R95rQx38SraTRE,Louder,Columbia,2014-02-28,day,11,spotify:album:109n8Ov5R95rQx38SraTRE
1934,1aoa7i69sLRxf0XkaV3X1j,album,https://api.spotify.com/v1/albums/1aoa7i69sLRxf0XkaV3X1j,The Complete Season 5 Collection (The Voice Performance),Universal Motown Records Group,2014-01-01,day,12,spotify:album:1aoa7i69sLRxf0XkaV3X1j
1935,5dIRkoEPTKQLnVUJDzaE2F,album,https://api.spotify.com/v1/albums/5dIRkoEPTKQLnVUJDzaE2F,Black Panties (Deluxe Version),RCA Records Label,2013-12-07,day,17,spotify:album:5dIRkoEPTKQLnVUJDzaE2F
1936,4eddbruVtOqw8khwxSH6H2,album,https://api.spotify.com/v1/albums/4eddbruVtOqw8khwxSH6H2,Unapologetic (Deluxe),Def Jam Recordings,2012-12-11,day,17,spotify:album:4eddbruVtOqw8khwxSH6H2
1937,5xSvNPstcxHtR4ap2vvN8A,album,https://api.spotify.com/v1/albums/5xSvNPstcxHtR4ap2vvN8A,Yours Truly,Universal Records,2013-01-01,day,12,spotify:album:5xSvNPstcxHtR4ap2vvN8A
1938,1rknZw4cyL9NInAqSwc8AA,album,https://api.spotify.com/v1/albums/1rknZw4cyL9NInAqSwc8AA,Journals,RBMG/Def Jam,2014-05-13,day,16,spotify:album:1rknZw4cyL9NInAqSwc8AA
1939,5RlT8X7XGGLKUhoimrDl54,album,https://api.spotify.com/v1/albums/5RlT8X7XGGLKUhoimrDl54,Hall Of Fame (Deluxe),Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ,2013-01-01,day,18,spotify:album:5RlT8X7XGGLKUhoimrDl54
1940,6U8LKb0qWVDHQ1A6JuBBZI,album,https://api.spotify.com/v1/albums/6U8LKb0qWVDHQ1A6JuBBZI,Two Lanes Of Freedom (Accelerated Deluxe),"Big Machine Records, LLC",2013-01-01,day,15,spotify:album:6U8LKb0qWVDHQ1A6JuBBZI
1941,62yjWIhnATHxPqGbgC9Lqr,album,https://api.spotify.com/v1/albums/62yjWIhnATHxPqGbgC9Lqr,Because the Internet,Glassnote Entertainment Group LLC,2013-12-10,day,19,spotify:album:62yjWIhnATHxPqGbgC9Lqr
1942,1783Mxpt38yxafCtFlgHNF,album,https://api.spotify.com/v1/albums/1783Mxpt38yxafCtFlgHNF,Love and War,Epic/Streamline Records,2013-09-03,day,14,spotify:album:1783Mxpt38yxafCtFlgHNF
1943,0O82niJ0NpcptYRxogeEZu,album,https://api.spotify.com/v1/albums/0O82niJ0NpcptYRxogeEZu,The 20/20 Experience (Deluxe Version),RCA Records Label,2013-03-15,day,12,spotify:album:0O82niJ0NpcptYRxogeEZu
1944,6kZ42qRrzov54LcAk4onW9,album,https://api.spotify.com/v1/albums/6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version),Taylor Swift,2021-11-12,day,30,spotify:album:6kZ42qRrzov54LcAk4onW9
1945,6bC3wMBoe3KHiTdClzG5hg,single,https://api.spotify.com/v1/albums/6bC3wMBoe3KHiTdClzG5hg,Type Of Way,"Gold Gang Music Group, LLC / IDJ",2013-01-01,day,1,spotify:album:6bC3wMBoe3KHiTdClzG5hg
1946,4nmETeTLoW1rFWHXu8ojTk,album,https://api.spotify.com/v1/albums/4nmETeTLoW1rFWHXu8ojTk,The Complete Season 5 Collection (The Voice Performance),Universal Motown Records Group,2014-01-01,day,12,spotify:album:4nmETeTLoW1rFWHXu8ojTk
1947,4sgYpkIASM1jVlNC8Wp9oF,album,https://api.spotify.com/v1/albums/4sgYpkIASM1jVlNC8Wp9oF,Paramore,Fueled By Ramen,2013-04-05,day,17,spotify:album:4sgYpkIASM1jVlNC8Wp9oF
1948,2ioso1tqQ5zABQDVYyiUi5,album,https://api.spotify.com/v1/albums/2ioso1tqQ5zABQDVYyiUi5,A Day Without Rain,WM UK,2000-11-11,day,12,spotify:album:2ioso1tqQ5zABQDVYyiUi5
1949,6wv1mTA9MFwaMru0xiKEoC,single,https://api.spotify.com/v1/albums/6wv1mTA9MFwaMru0xiKEoC,Hallelujah (The Voice Performance),Universal Motown Records Group,2014-01-01,day,1,spotify:album:6wv1mTA9MFwaMru0xiKEoC
1950,5MfeQZrrNfMqcaq03U9qOr,single,https://api.spotify.com/v1/albums/5MfeQZrrNfMqcaq03U9qOr,Christmas Kisses,Universal Records,2013-01-01,day,4,spotify:album:5MfeQZrrNfMqcaq03U9qOr
1951,7tUbP3Mr1u9ZZIzlrStatS,single,https://api.spotify.com/v1/albums/7tUbP3Mr1u9ZZIzlrStatS,Rough Water (feat. Jason Mraz),Decaydance/Fueled By Ramen,2013-09-10,day,1,spotify:album:7tUbP3Mr1u9ZZIzlrStatS
1952,0kBfgEilUFCMIQY5IOjG4t,album,https://api.spotify.com/v1/albums/0kBfgEilUFCMIQY5IOjG4t,Slippery When Wet,Island Records,1986-08-16,day,10,spotify:album:0kBfgEilUFCMIQY5IOjG4t
1953,4o8ZyBzwPxPVc2bqNG5Xfe,album,https://api.spotify.com/v1/albums/4o8ZyBzwPxPVc2bqNG5Xfe,Soy el Mismo,Sony Music Latin,2013-10-08,day,11,spotify:album:4o8ZyBzwPxPVc2bqNG5Xfe
1954,77eZ5eMEh3U0KWricrbevO,album,https://api.spotify.com/v1/albums/77eZ5eMEh3U0KWricrbevO,B'Day,Sony Urban Music/Columbia,2006-09-04,day,11,spotify:album:77eZ5eMEh3U0KWricrbevO
