index,Track_Id,Track_Name,Explicit,Popularity,Is_local,track_type
80,3J5jotqUAjU479WhAiNkpU,Freedom Was A Highway,False,66,False,track
81,1TlTzdsEpgfsmbuNfYmWfG,For Tonight,False,73,False,track
82,5zNW5ARjYhJQJz1AChP33n,Thot Shit,True,71,False,track
83,5SulrwmIUDbU5TQQtoYHhL,Like A Lady,False,54,False,track
84,0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),True,81,False,track
85,0BFGDkrXAneskCJdudSCro,Scorpio,True,65,False,track
86,6Zu3aw7FfjAF9WA0fA81Oq,Big Energy,True,75,False,track
87,1yRke3PmsyFrYlFZOAkABk,Half Of My Hometown,False,72,False,track
88,7hU3IHwjX150XLoTVmjD0q,Money,True,83,False,track
89,2tUL6dZf1mywCj5WvCPZw6,No Friends In The Industry,True,75,False,track
90,5nhW8I46uDE5sc5ouEbzao,Who's In Your Head,False,65,False,track
91,61S79KIVA4I9FXbnsylEHT,In The Bible,True,71,False,track
92,7AoU7WDzb1zr2p4ldkOokr,Just About Over You,False,58,False,track
93,2pUQX4d3Cjh3umGkVz0XyI,To Be Loved By You,False,66,False,track
94,0eu4C55hL6x29mmeAjytzC,Life Goes On,False,79,False,track
95,29he0Joo5sz2607A6ZBT6H,Come Through,True,69,False,track
96,2cEnKRR4dYBB2VA1mjlb1z,Nevada,True,74,False,track
97,4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me,False,86,False,track
98,6HU7h9RYOaPRFeh0R3UeAr,Deja Vu,True,88,False,track
99,1De7cOMrdUnVpjWBaowMg4,Ex For A Reason,True,71,False,track
100,6kksmL4t09IgxhajuVDDxR,Late At Night,True,72,False,track
101,7zjEyeBsaw9gV0jofJLfOM,Livin It Up,True,73,False,track
102,0uqsdBw9KvD8jSWmfMmMAp,Stressed,True,53,False,track
103,2JPLbjOn0wPCngEot2STUS,Yonaguni,True,86,False,track
104,2HSmyk2qMN8WQjuGhaQgCk,Champagne Poetry,True,79,False,track
105,4cGqn0E8JCSY9gQllQj4Mf,Let Somebody Go,False,78,False,track
106,3yFsyy1hw7v31NBrRJX2QM,You Time,False,57,False,track
107,03kozlqpm5twrblZia0m9j,Peepin Out The Window,True,52,False,track
108,58T4yPLn4NjBYXfRxeweyM,Woo Baby,True,72,False,track
109,25r6MZ4Gtd76l43qnZI1DG,Flocky Flocky,True,67,False,track
110,4iJyoBOLtHqaGxP12qzhQI,Peaches,True,86,False,track
111,4fSIb4hdOQ151TILNsSEaF,Todo de Ti,True,82,False,track
112,1UYfAU2bwgjaM5rIIPQleC,Drinkin' Beer. Talkin' God. Amen.,False,62,False,track
113,2DTpP3caqX3QdJIEoS83mD,Your Heart,True,70,False,track
114,0z8hI3OPS8ADPWtoCjjLl6,Summer Of Love,False,80,False,track
115,027269uzraETHuoG6aMs6a,Waves,False,64,False,track
116,2CMVajzxRuxsFNzYFkzjTb,Life Support,True,61,False,track
117,14RtRKcWhxg2qPGLMR21tf,Bad Morning,True,60,False,track
118,4s7TIubkdsgdtDEDFEAYVL,Intro (Hate On Me),True,55,False,track
119,0QULNNd9z5s35entfiiXoa,Drunk (And I Don't Wanna Go Home),False,75,False,track
120,6jjYDGxVJsWS0a5wlVF5vS,Butter,False,81,False,track
121,5qyZ6LcHvBiIHLaoED8K4g,Hot,True,61,False,track
122,7eDkIDGKVe5B5RmTiEPiXJ,Expensive Pain,True,50,False,track
