Id,Name,Followers,Popularity
3XHO7cRUPCLOr6jwp8vsx5,alt-J,3162522,71
3NPpFNZtSTHheNBaWC82rB,X Ambassadors,2873133,72
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,3753863,74
7pEVNuJRlpDXlsrcq32yHp,Atlus,104584,64
3Z02hBLubJxuFJfhacLSDc,Bryan Adams,3132713,75
3tJnB0s6c3oXPq1SCCavnd,Marco Antonio Solís,6350838,74
4wQ3PyMz3WwJGI5uEqHUVR,Allman Brothers Band,1473083,64
1J2VVASYAamtQ3Bt8wGgA6,Ja Rule,1654322,69
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,78301016,89
09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,1897388,67
68KmkJeZGfwe1OUaivBa2L,ATEEZ,2869343,71
34bhyY8jfKez7uKakMfy4y,Maddie & Tae,1065241,64
1WgXqy2Dd70QQOU7Ay074N,AURORA,2992216,73
1caBfBEapzw8z2Qz9q0OaQ,Asking Alexandria,2002903,66
35U9lQaRWSQISxQAB94Meo,America,1587534,67
6hfwwpXqZPRC9CsKI7qtv1,Alina Baraz,1316818,66
4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age,3233050,71
6P5NO5hzJbuOqSdyPB7SJM,Ashe,1403482,69
660YptcR0hNHJ8iEr1qcse,Anthony Ramos,144486,66
0PN0fbe41KbuzlRYnoajNm,Antonio Aguilar,2789062,69
4D75GcNG95ebPtNvoNVXhz,AFROJACK,3997797,72
0h1zs4CTlU9D2QtgPxptUD,Ricardo Arjona,11675071,76
7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,3139518,71
1vaQ6v3pOFxAIrFoPrAcom,Ari Lennox,650015,64
6X8WdFjrNhXATMDSs26aCc,Curren$y,1024794,63
0NGAZxHanS9e0iNHpR8f2W,Alok,12140009,79
4fZ8AuVP6Y8mLmCoybfKpC,Adam Calhoun,483159,61
3sDbKMebVH2VYcRSl7u1VC,for KING & COUNTRY,1103910,64
2Lxa3SFNEW0alfRvtdXOul,Ariel Camacho y Los Plebes Del Rancho,3594671,68
0ZUdYzRCIrxbsd80MmGMqo,Daisy Jones & The Six,296862,68
4xnihxcoXWK3UqryOSnbw5,Sasha Alex Sloan,1291314,72
5yG7ZAZafVaAlMTeBybKAL,Iggy Azalea,6367156,69
4bYPcJP5jwMhSivRcqie2n,Adam Levine,993360,72
29SeiO68HQHBs7pDdWOvvX,Jesús Adrián Romero,4095384,73
4AcHt3JxKy59IX7JNNlZn4,Fitz and The Tantrums,831146,65
3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,1359930,75
0jPnVIasXzBYjrlpO5irii,Ingrid Andress,129174,63
7B4hKK0S9QYnaoqa9OuwgX,Eazy-E,5005517,65
74eX4C98E4FCrAMl39qRsJ,Theory of a Deadman,1974990,64
2ziB7fzrXBoh1HUPS6sVFn,Audioslave,4155409,68
6sq1yF0OZEWA4xoXVKW1L9,Alejandro Fernández,6820731,76
2qgvmDsc4jrqbAbjq1HGM2,Rodney Atkins,1874417,62
0vRvGUQVUjytro0xpb26bs,Arizona Zervas,715650,66
1A9o3Ljt67pFZ89YtPPL5X,Snoh Aalegra,1005621,66
0MeLMJJcouYXCymQSHPn8g,Sleeping At Last,1350324,68
6ogn9necmbUdCppmNnGOdi,Alanis Morissette,2526312,68
0MlOPi3zIDMVrfA9R04Fe3,American Authors,1509904,66
1TTHC3GlNDaE5eVoC3BVxm,Lumi Athena,92419,67
19eLuQmk9aCobbVDHc6eek,Louis Armstrong,2673033,69
0n94vC3S9c3mb2HyNAOcjg,The Head And The Heart,1042607,63
